gene_ID,DRR016125,DRR016126,DRR016127,DRR016128,DRR016129,DRR016130,DRR016131,DRR016132,DRR016133,DRR016134,DRR016135,DRR016136,DRR016137,DRR016138,DRR016139,DRR016140
AT1G01010,5,1,2,1,0,0,0,1,0,0,1,1,1,2,0,0
AT1G01020,4,1,0,0,1,1,0,1,0,2,2,0,1,0,0,0
AT1G01030,0,2,1,1,0,1,0,0,1,0,2,0,0,0,1,0
AT1G01040,6,7,4,5,2,5,2,7,10,7,1,3,11,3,2,0
AT1G01046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01050,19,8,16,14,16,22,17,21,17,7,9,34,7,2,13,7
AT1G01060,0,0,5,30,0,0,4,59,0,0,3,48,0,0,7,16
AT1G01070,0,0,0,3,0,1,0,1,4,2,0,3,2,1,1,7
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,12,11,8,21,14,13,10,19,5,5,15,19,16,9,5,16
AT1G01090,43,34,40,38,61,56,41,41,65,37,34,48,57,13,29,29
AT1G01100,56,24,41,58,53,44,37,58,63,34,89,106,86,36,43,56
AT1G01110,0,0,1,2,1,2,0,2,0,0,0,0,2,0,0,1
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,5,34,8,9,3,51,12,7,16,25,11,7,6,29,19,7
AT1G01130,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
AT1G01140,2,30,44,15,6,25,35,14,11,9,44,6,7,9,32,8
AT1G01150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01160,9,10,0,4,14,12,5,6,6,2,1,4,7,2,1,9
AT1G01170,23,15,10,12,21,22,16,1,17,2,8,20,15,6,12,6
AT1G01180,0,1,1,4,6,3,1,1,5,1,1,2,5,4,2,1
AT1G01183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01190,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AT1G01200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01210,1,0,0,1,1,1,1,1,2,0,0,5,0,0,0,1
AT1G01220,1,1,3,4,1,2,2,3,1,1,0,8,1,2,2,0
AT1G01225,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AT1G01230,8,3,1,2,3,12,6,7,8,14,3,4,7,7,3,1
AT1G01240,6,27,24,1,13,32,24,1,5,25,30,3,7,13,22,1
AT1G01250,0,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0
AT1G01260,3,3,2,0,1,2,0,1,6,1,1,1,2,0,1,0
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,4,3,1,2,1,1,0,0,1,1,0,0,1,1,0,1
AT1G01300,17,17,3,11,20,9,6,9,18,6,5,29,14,4,4,11
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,3
AT1G01320,31,31,37,97,52,33,75,76,49,39,72,59,33,21,52,60
AT1G01340,2,5,2,4,4,1,0,1,0,11,3,0,2,1,3,1
AT1G01350,1,1,0,2,1,5,6,1,5,1,2,0,1,0,6,1
AT1G01355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01360,1,0,16,1,1,1,14,3,1,2,22,1,1,0,21,2
AT1G01370,1,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0
AT1G01380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AT1G01390,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1
AT1G01400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,1,0,0,0,3,0,0,2,0,2,0,1,1,0,0,3
AT1G01430,6,7,5,12,13,10,6,11,17,9,9,10,10,2,4,16
AT1G01440,1,1,6,2,2,2,3,5,1,1,1,2,2,1,0,1
AT1G01448,1,1,0,0,5,2,1,2,0,0,5,0,1,0,0,0
AT1G01450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01470,10,193,119,16,28,136,99,9,29,127,107,19,24,112,116,8
AT1G01471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01480,0,4,1,0,0,1,6,0,0,1,5,0,1,3,2,0
AT1G01490,43,51,8,12,21,33,15,9,52,24,16,41,26,49,7,16
AT1G01500,4,5,5,0,1,3,0,2,4,4,1,2,1,4,0,1
AT1G01510,6,8,1,4,7,9,0,10,4,5,2,12,3,2,2,1
